program,source_page,source_sha256,source_recovery,translation,numeric_qa,korean_review,visual_qa,target_pages,reviewer,notes
dynasty,71,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,72,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,73,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,74,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,75,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,76,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,77,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,78,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,79,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,80,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,81,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,82,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,83,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,84,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,85,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,86,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,87,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,88,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,89,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,90,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,91,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,92,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,93,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,1,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_recovery,not_started,not_started,not_started,not_started,,,
hell-joseon,2,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
